user_id,age,gender,disability_type,mobility_aid,preferred_style,budget_tier,size
1,54,Male,Limited hand dexterity,None,Winter,Medium,S
2,67,Male,Sensory sensitivity,None,Winter,Low,XXL
3,44,Male,Dwarfism / short stature,None,Workwear,Medium,XS
4,30,Male,Wheelchair user,Wheelchair,Formal,High,XL
5,58,Non-binary,Wheelchair user,Wheelchair,Winter,High,XXL
6,23,Female,Dwarfism / short stature,None,Formal,Medium,XL
7,36,Male,Limb difference (upper),None,Summer,Low,XXL
8,54,Female,Post-stroke / hemiplegia,None,Sport,Low,S
9,73,Male,Limb difference (lower),None,Casual,Medium,XS
10,34,Female,Limb difference (lower),None,Workwear,Medium,XS
11,38,Non-binary,Amputee (prosthetic user),None,Loungewear,Low,XL
12,26,Non-binary,Limb difference (upper),None,Workwear,Medium,XL
13,26,Non-binary,Sensory sensitivity,None,Casual,Low,XXL
14,39,Female,Sensory sensitivity,None,Casual,Low,XS
15,68,Female,Post-stroke / hemiplegia,None,Loungewear,High,M
16,51,Female,Visual impairment,None,Sport,Low,XXL
17,55,Non-binary,Limb difference (upper),None,Winter,High,XS
18,39,Non-binary,None / general accessibility,None,Formal,High,XXL
19,18,Male,Sensory sensitivity,None,Loungewear,Medium,M
20,37,Male,Dwarfism / short stature,None,Winter,Medium,XS
21,68,Male,Sensory sensitivity,None,Summer,Medium,L
22,17,Male,Limb difference (upper),None,Formal,High,XXL
23,39,Male,Limb difference (lower),None,Winter,Medium,L
24,59,Male,Amputee (prosthetic user),Cane,Formal,Low,XXL
25,45,Non-binary,Dwarfism / short stature,None,Sport,High,XL
26,53,Non-binary,Post-stroke / hemiplegia,None,Loungewear,Medium,S
27,17,Non-binary,Visual impairment,None,Loungewear,Low,XS
28,36,Male,Limited hand dexterity,None,Winter,Low,XXL
29,48,Non-binary,Post-stroke / hemiplegia,None,Casual,Medium,L
30,27,Female,None / general accessibility,None,Workwear,Medium,XL
31,73,Non-binary,Wheelchair user,None,Winter,High,M
32,37,Male,Limb difference (lower),None,Sport,Medium,S
33,59,Male,Amputee (prosthetic user),Cane,Workwear,Low,XL
34,40,Non-binary,Limited hand dexterity,None,Sport,High,XL
35,64,Male,None / general accessibility,None,Formal,Medium,S
36,42,Non-binary,Dwarfism / short stature,None,Casual,High,M
37,74,Male,Amputee (prosthetic user),None,Sport,Medium,S
38,57,Male,Wheelchair user,Walker,Casual,Low,XXL
39,43,Male,Amputee (prosthetic user),Walker,Summer,Low,S
40,31,Non-binary,Amputee (prosthetic user),Wheelchair,Sport,High,XL
41,30,Male,Post-stroke / hemiplegia,None,Workwear,High,XXL
42,62,Non-binary,Sensory sensitivity,None,Sport,Medium,XXL
43,66,Female,Limb difference (lower),None,Workwear,Medium,XS
44,59,Male,Sensory sensitivity,None,Casual,Medium,XS
45,70,Non-binary,None / general accessibility,None,Formal,High,S
46,67,Male,Wheelchair user,None,Formal,Low,XS
47,72,Male,Limb difference (lower),None,Workwear,Low,M
48,18,Male,Amputee (prosthetic user),Walker,Formal,High,XL
49,52,Female,None / general accessibility,None,Formal,Medium,L
50,66,Male,Sensory sensitivity,None,Casual,High,L
51,22,Female,Limb difference (lower),None,Loungewear,Medium,XXL
52,36,Non-binary,Wheelchair user,None,Casual,Medium,XXL
53,24,Male,Limb difference (lower),None,Formal,Low,S
54,54,Female,Dwarfism / short stature,None,Formal,Medium,S
55,33,Female,Limb difference (upper),None,Formal,Low,L
56,19,Male,Dwarfism / short stature,None,Casual,High,XL
57,40,Male,Wheelchair user,Wheelchair,Formal,Medium,L
